,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class
189,>=200,10.0,critical/other existing credit,radio/tv,1347.0,no known savings,4<=X<7,4.0,none,life insurance,27.0,none,own,2.0,skilled,1.0,yes,good
190,0<=X<200,36.0,delayed previously,new car,2862.0,100<=X<500,>=7,4.0,none,no known property,30.0,none,for free,1.0,skilled,1.0,yes,good
191,no checking,9.0,existing paid,radio/tv,2753.0,100<=X<500,>=7,3.0,co applicant,car,35.0,none,own,1.0,skilled,1.0,yes,good
192,<0,12.0,existing paid,new car,3651.0,>=1000,1<=X<4,1.0,none,life insurance,31.0,none,own,1.0,skilled,2.0,yes,good
193,<0,15.0,critical/other existing credit,furniture/equipment,975.0,<100,1<=X<4,2.0,none,life insurance,25.0,none,own,2.0,skilled,1.0,yes,good
194,0<=X<200,15.0,existing paid,repairs,2631.0,100<=X<500,1<=X<4,3.0,none,real estate,25.0,none,own,1.0,unskilled resident,1.0,yes,good
195,0<=X<200,24.0,existing paid,radio/tv,2896.0,100<=X<500,<1,2.0,none,car,29.0,none,own,1.0,skilled,1.0,yes,good
196,<0,6.0,critical/other existing credit,new car,4716.0,no known savings,<1,1.0,none,real estate,44.0,none,own,2.0,unskilled resident,2.0,yes,good
197,no checking,24.0,existing paid,radio/tv,2284.0,<100,4<=X<7,4.0,none,car,28.0,none,own,1.0,skilled,1.0,yes,good
198,no checking,6.0,existing paid,used car,1236.0,500<=X<1000,1<=X<4,2.0,none,life insurance,50.0,none,rent,1.0,skilled,1.0,yes,good
199,0<=X<200,12.0,existing paid,radio/tv,1103.0,<100,4<=X<7,4.0,guarantor,real estate,29.0,none,own,2.0,skilled,1.0,no,good
200,no checking,12.0,critical/other existing credit,new car,926.0,<100,unemployed,1.0,none,life insurance,38.0,none,own,1.0,unemp/unskilled non res,1.0,yes,good
201,no checking,18.0,critical/other existing credit,radio/tv,1800.0,<100,1<=X<4,4.0,none,car,24.0,none,own,2.0,skilled,1.0,yes,good
202,>=200,15.0,existing paid,education,1905.0,<100,>=7,4.0,none,car,40.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
203,no checking,12.0,existing paid,furniture/equipment,1123.0,500<=X<1000,1<=X<4,4.0,none,car,29.0,none,rent,1.0,unskilled resident,1.0,yes,bad
204,<0,48.0,critical/other existing credit,used car,6331.0,<100,>=7,4.0,none,no known property,46.0,none,for free,2.0,skilled,1.0,yes,bad
205,>=200,24.0,existing paid,radio/tv,1377.0,100<=X<500,>=7,4.0,none,no known property,47.0,none,for free,1.0,skilled,1.0,yes,good
206,0<=X<200,30.0,delayed previously,business,2503.0,100<=X<500,>=7,4.0,none,life insurance,41.0,stores,own,2.0,skilled,1.0,yes,good
207,0<=X<200,27.0,existing paid,business,2528.0,<100,<1,4.0,none,life insurance,32.0,none,own,1.0,skilled,2.0,yes,good
208,no checking,15.0,existing paid,new car,5324.0,500<=X<1000,>=7,1.0,none,no known property,35.0,none,for free,1.0,skilled,1.0,yes,good
209,0<=X<200,48.0,existing paid,new car,6560.0,100<=X<500,4<=X<7,3.0,none,life insurance,24.0,none,own,1.0,skilled,1.0,yes,bad
210,0<=X<200,12.0,no credits/all paid,furniture/equipment,2969.0,<100,<1,4.0,none,life insurance,25.0,none,rent,2.0,skilled,1.0,yes,bad
211,0<=X<200,9.0,existing paid,radio/tv,1206.0,<100,>=7,4.0,none,real estate,25.0,none,own,1.0,skilled,1.0,yes,good
212,0<=X<200,9.0,existing paid,radio/tv,2118.0,<100,1<=X<4,2.0,none,real estate,37.0,none,own,1.0,unskilled resident,2.0,yes,good
213,no checking,18.0,critical/other existing credit,radio/tv,629.0,500<=X<1000,>=7,4.0,none,life insurance,32.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
214,<0,6.0,all paid,education,1198.0,<100,>=7,4.0,none,no known property,35.0,none,for free,1.0,skilled,1.0,yes,bad
215,no checking,21.0,existing paid,used car,2476.0,no known savings,>=7,4.0,none,real estate,46.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
216,<0,9.0,critical/other existing credit,radio/tv,1138.0,<100,1<=X<4,4.0,none,real estate,25.0,none,own,2.0,unskilled resident,1.0,yes,good
217,0<=X<200,60.0,existing paid,new car,14027.0,<100,4<=X<7,4.0,none,no known property,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
218,no checking,30.0,critical/other existing credit,used car,7596.0,no known savings,>=7,1.0,none,car,63.0,none,own,2.0,skilled,1.0,yes,good
219,no checking,30.0,critical/other existing credit,radio/tv,3077.0,no known savings,>=7,3.0,none,car,40.0,none,own,2.0,skilled,2.0,yes,good
220,no checking,18.0,existing paid,radio/tv,1505.0,<100,1<=X<4,4.0,none,no known property,32.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
221,>=200,24.0,critical/other existing credit,radio/tv,3148.0,no known savings,1<=X<4,3.0,none,car,31.0,none,own,2.0,skilled,1.0,yes,good
222,0<=X<200,20.0,no credits/all paid,used car,6148.0,100<=X<500,>=7,3.0,none,car,31.0,bank,own,2.0,skilled,1.0,yes,good
223,>=200,-1,no credits/all paid,radio/tv,1337.0,<100,<1,4.0,none,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
224,0<=X<200,-1,all paid,education,433.0,>=1000,<1,4.0,none,life insurance,24.0,bank,rent,1.0,skilled,2.0,yes,bad
225,<0,-1,existing paid,new car,1228.0,<100,1<=X<4,4.0,none,real estate,24.0,none,own,1.0,unskilled resident,1.0,yes,bad
226,0<=X<200,9.0,existing paid,radio/tv,790.0,500<=X<1000,1<=X<4,4.0,none,real estate,66.0,none,own,1.0,unskilled resident,1.0,yes,good
227,no checking,27.0,existing paid,new car,2570.0,<100,1<=X<4,3.0,none,real estate,21.0,none,rent,1.0,skilled,1.0,yes,bad
228,no checking,6.0,critical/other existing credit,new car,250.0,>=1000,1<=X<4,2.0,none,real estate,41.0,bank,own,2.0,unskilled resident,1.0,yes,good
229,no checking,15.0,critical/other existing credit,radio/tv,1316.0,500<=X<1000,1<=X<4,2.0,none,life insurance,47.0,none,own,2.0,unskilled resident,1.0,yes,good
230,<0,18.0,existing paid,radio/tv,1882.0,<100,1<=X<4,4.0,none,car,25.0,bank,rent,2.0,skilled,1.0,yes,bad
231,0<=X<200,48.0,all paid,business,6416.0,<100,>=7,4.0,none,no known property,59.0,none,rent,1.0,skilled,1.0,yes,bad
232,>=200,24.0,critical/other existing credit,business,1275.0,>=1000,1<=X<4,2.0,none,real estate,36.0,none,own,2.0,skilled,1.0,yes,good
233,0<=X<200,24.0,delayed previously,radio/tv,6403.0,<100,<1,1.0,none,car,33.0,none,own,1.0,skilled,1.0,yes,good
234,<0,24.0,existing paid,radio/tv,1987.0,<100,1<=X<4,2.0,none,real estate,21.0,none,rent,1.0,unskilled resident,2.0,yes,bad
235,0<=X<200,8.0,existing paid,radio/tv,760.0,<100,4<=X<7,4.0,guarantor,real estate,44.0,none,own,1.0,unskilled resident,1.0,yes,good
236,no checking,24.0,existing paid,used car,2603.0,>=1000,1<=X<4,2.0,none,car,28.0,none,rent,1.0,skilled,1.0,yes,good
237,no checking,4.0,critical/other existing credit,new car,3380.0,<100,4<=X<7,1.0,none,real estate,37.0,none,own,1.0,skilled,2.0,yes,good
238,0<=X<200,36.0,all paid,domestic appliance,3990.0,no known savings,<1,3.0,none,no known property,29.0,bank,own,1.0,unemp/unskilled non res,1.0,yes,good
239,0<=X<200,24.0,existing paid,used car,11560.0,<100,1<=X<4,1.0,none,car,23.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,yes,bad
240,<0,18.0,existing paid,new car,4380.0,100<=X<500,1<=X<4,3.0,none,car,35.0,none,own,1.0,unskilled resident,2.0,yes,good
241,no checking,6.0,critical/other existing credit,new car,6761.0,<100,4<=X<7,1.0,none,no known property,45.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,good
242,0<=X<200,30.0,no credits/all paid,business,4280.0,100<=X<500,1<=X<4,4.0,none,car,26.0,none,rent,2.0,unskilled resident,1.0,yes,bad
243,<0,24.0,all paid,new car,2325.0,100<=X<500,4<=X<7,2.0,none,car,32.0,bank,own,1.0,skilled,1.0,yes,good
244,0<=X<200,10.0,all paid,radio/tv,1048.0,<100,1<=X<4,4.0,none,real estate,23.0,stores,own,1.0,unskilled resident,1.0,yes,good
245,no checking,-1,existing paid,radio/tv,3160.0,no known savings,>=7,4.0,none,life insurance,41.0,none,own,1.0,skilled,1.0,yes,good
246,<0,24.0,all paid,furniture/equipment,2483.0,500<=X<1000,1<=X<4,4.0,none,real estate,22.0,stores,own,1.0,skilled,1.0,yes,good
247,<0,39.0,critical/other existing credit,furniture/equipment,14179.0,no known savings,4<=X<7,4.0,none,life insurance,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
248,<0,13.0,critical/other existing credit,business,1797.0,<100,<1,3.0,none,life insurance,28.0,bank,own,2.0,unskilled resident,1.0,yes,good
249,<0,-1,existing paid,new car,2511.0,<100,unemployed,1.0,none,car,23.0,none,rent,1.0,skilled,1.0,yes,good
250,<0,12.0,existing paid,new car,1274.0,<100,<1,3.0,none,real estate,37.0,none,own,1.0,unskilled resident,1.0,yes,bad
251,no checking,21.0,existing paid,used car,5248.0,no known savings,1<=X<4,1.0,none,car,26.0,none,own,1.0,skilled,1.0,yes,good
252,no checking,15.0,existing paid,used car,3029.0,<100,4<=X<7,2.0,none,car,33.0,none,own,1.0,skilled,1.0,yes,good
253,<0,6.0,existing paid,furniture/equipment,428.0,<100,>=7,2.0,none,life insurance,49.0,bank,own,1.0,skilled,1.0,yes,good
254,<0,18.0,existing paid,new car,976.0,<100,<1,1.0,none,car,23.0,none,own,1.0,unskilled resident,1.0,yes,bad
255,0<=X<200,12.0,existing paid,business,841.0,100<=X<500,4<=X<7,2.0,none,real estate,23.0,none,rent,1.0,unskilled resident,1.0,yes,good
256,no checking,-1,critical/other existing credit,radio/tv,5771.0,<100,4<=X<7,4.0,none,car,25.0,none,own,2.0,skilled,1.0,yes,good
257,no checking,12.0,delayed previously,repairs,1555.0,>=1000,>=7,4.0,none,no known property,55.0,none,for free,2.0,skilled,2.0,yes,bad
258,<0,24.0,existing paid,new car,1285.0,no known savings,4<=X<7,4.0,none,no known property,32.0,none,rent,1.0,skilled,1.0,yes,bad
259,>=200,6.0,critical/other existing credit,new car,1299.0,<100,1<=X<4,1.0,none,real estate,74.0,none,own,3.0,unemp/unskilled non res,2.0,no,good
260,>=200,-1,critical/other existing credit,radio/tv,1271.0,no known savings,1<=X<4,3.0,none,no known property,39.0,none,for free,2.0,skilled,1.0,yes,bad
261,no checking,24.0,existing paid,new car,1393.0,<100,1<=X<4,2.0,guarantor,real estate,31.0,none,own,1.0,skilled,1.0,yes,good
262,<0,12.0,critical/other existing credit,new car,691.0,<100,>=7,4.0,none,life insurance,35.0,none,own,2.0,skilled,1.0,yes,bad
263,no checking,15.0,critical/other existing credit,new car,5045.0,no known savings,>=7,1.0,none,car,59.0,none,own,1.0,skilled,1.0,yes,good
264,<0,18.0,critical/other existing credit,furniture/equipment,2124.0,<100,1<=X<4,4.0,none,real estate,24.0,none,rent,2.0,skilled,1.0,yes,bad
265,<0,12.0,existing paid,radio/tv,2214.0,<100,1<=X<4,4.0,none,life insurance,24.0,none,own,1.0,unskilled resident,1.0,yes,good
266,no checking,21.0,critical/other existing credit,new car,12680.0,no known savings,>=7,4.0,none,no known property,30.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
267,no checking,24.0,critical/other existing credit,new car,2463.0,100<=X<500,4<=X<7,4.0,none,life insurance,27.0,none,own,2.0,skilled,1.0,yes,good
268,0<=X<200,12.0,existing paid,radio/tv,1155.0,<100,>=7,3.0,guarantor,real estate,40.0,bank,own,2.0,unskilled resident,1.0,yes,good
269,<0,30.0,existing paid,furniture/equipment,3108.0,<100,<1,2.0,none,life insurance,31.0,none,own,1.0,unskilled resident,1.0,yes,bad
270,no checking,10.0,existing paid,used car,2901.0,no known savings,<1,1.0,none,real estate,31.0,none,rent,1.0,skilled,1.0,yes,good
271,0<=X<200,12.0,critical/other existing credit,furniture/equipment,3617.0,<100,>=7,1.0,none,car,28.0,none,rent,3.0,skilled,1.0,yes,good
272,no checking,12.0,critical/other existing credit,radio/tv,1655.0,<100,>=7,2.0,none,real estate,63.0,none,own,2.0,unskilled resident,1.0,yes,good
273,<0,24.0,existing paid,used car,2812.0,no known savings,>=7,2.0,none,real estate,26.0,none,rent,1.0,skilled,1.0,yes,good
274,<0,36.0,critical/other existing credit,education,8065.0,<100,1<=X<4,3.0,none,no known property,25.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
275,no checking,21.0,critical/other existing credit,used car,3275.0,<100,>=7,1.0,none,car,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
276,no checking,24.0,critical/other existing credit,radio/tv,2223.0,100<=X<500,>=7,4.0,none,life insurance,52.0,bank,own,2.0,skilled,1.0,yes,good
277,>=200,12.0,critical/other existing credit,new car,1480.0,500<=X<1000,unemployed,2.0,none,no known property,66.0,bank,for free,3.0,unemp/unskilled non res,1.0,yes,good
278,<0,24.0,existing paid,new car,1371.0,no known savings,1<=X<4,4.0,none,real estate,25.0,none,rent,1.0,skilled,1.0,yes,bad
279,no checking,36.0,critical/other existing credit,new car,3535.0,<100,4<=X<7,4.0,none,car,37.0,none,own,2.0,skilled,1.0,yes,good
280,<0,18.0,existing paid,radio/tv,3509.0,<100,4<=X<7,4.0,guarantor,real estate,25.0,none,own,1.0,skilled,1.0,yes,good
281,no checking,36.0,critical/other existing credit,used car,5711.0,>=1000,>=7,4.0,none,car,38.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
282,0<=X<200,18.0,existing paid,repairs,3872.0,<100,unemployed,2.0,none,car,67.0,none,own,1.0,skilled,1.0,yes,good
283,0<=X<200,39.0,critical/other existing credit,radio/tv,4933.0,<100,4<=X<7,2.0,guarantor,real estate,25.0,none,own,2.0,skilled,1.0,yes,bad
284,no checking,24.0,critical/other existing credit,new car,1940.0,>=1000,>=7,4.0,none,real estate,60.0,none,own,1.0,skilled,1.0,yes,good
285,0<=X<200,12.0,no credits/all paid,retraining,1410.0,<100,1<=X<4,2.0,none,real estate,31.0,none,own,1.0,unskilled resident,1.0,yes,good
286,0<=X<200,12.0,existing paid,new car,836.0,100<=X<500,<1,4.0,none,life insurance,23.0,bank,own,1.0,unskilled resident,1.0,yes,bad
287,0<=X<200,20.0,existing paid,used car,6468.0,no known savings,unemployed,1.0,none,real estate,60.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
288,0<=X<200,18.0,existing paid,business,1941.0,>=1000,1<=X<4,4.0,none,life insurance,35.0,none,own,1.0,unskilled resident,1.0,yes,good
289,no checking,22.0,existing paid,radio/tv,2675.0,500<=X<1000,>=7,3.0,none,car,40.0,none,own,1.0,skilled,1.0,yes,good
290,no checking,48.0,critical/other existing credit,used car,2751.0,no known savings,>=7,4.0,none,car,38.0,none,own,2.0,skilled,2.0,yes,good
291,0<=X<200,48.0,delayed previously,education,6224.0,<100,>=7,4.0,none,no known property,50.0,none,for free,1.0,skilled,1.0,yes,bad
292,<0,40.0,critical/other existing credit,education,5998.0,<100,1<=X<4,4.0,none,no known property,27.0,bank,own,1.0,skilled,1.0,yes,bad
293,0<=X<200,21.0,existing paid,business,1188.0,<100,>=7,2.0,none,life insurance,39.0,none,own,1.0,skilled,2.0,yes,bad
294,no checking,24.0,existing paid,used car,6313.0,no known savings,>=7,3.0,none,car,41.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
295,no checking,6.0,critical/other existing credit,furniture/equipment,1221.0,no known savings,1<=X<4,1.0,none,life insurance,27.0,none,own,2.0,skilled,1.0,yes,good
296,>=200,24.0,existing paid,furniture/equipment,2892.0,<100,>=7,3.0,none,no known property,51.0,none,for free,1.0,skilled,1.0,yes,good
297,no checking,24.0,existing paid,furniture/equipment,3062.0,500<=X<1000,>=7,4.0,none,no known property,32.0,none,rent,1.0,skilled,1.0,yes,good
298,no checking,9.0,existing paid,furniture/equipment,2301.0,100<=X<500,<1,2.0,none,life insurance,22.0,none,rent,1.0,skilled,1.0,yes,good
299,<0,18.0,existing paid,used car,7511.0,no known savings,>=7,1.0,none,life insurance,51.0,none,for free,1.0,skilled,2.0,yes,bad
300,no checking,12.0,critical/other existing credit,furniture/equipment,1258.0,<100,<1,2.0,none,life insurance,22.0,none,rent,2.0,unskilled resident,1.0,yes,good
301,no checking,24.0,delayed previously,new car,717.0,no known savings,>=7,4.0,none,car,54.0,none,own,2.0,skilled,1.0,yes,good
302,0<=X<200,9.0,existing paid,new car,1549.0,no known savings,<1,4.0,none,real estate,35.0,none,own,1.0,unemp/unskilled non res,1.0,yes,good
303,no checking,24.0,critical/other existing credit,education,1597.0,<100,>=7,4.0,none,no known property,54.0,none,for free,2.0,skilled,2.0,yes,good
304,0<=X<200,18.0,critical/other existing credit,radio/tv,1795.0,<100,>=7,3.0,guarantor,real estate,48.0,bank,rent,2.0,unskilled resident,1.0,yes,good
305,<0,20.0,critical/other existing credit,furniture/equipment,4272.0,<100,>=7,1.0,none,life insurance,24.0,none,own,2.0,skilled,1.0,yes,good
306,no checking,12.0,critical/other existing credit,radio/tv,976.0,no known savings,>=7,4.0,none,car,35.0,none,own,2.0,skilled,1.0,yes,good
307,0<=X<200,12.0,existing paid,new car,7472.0,no known savings,unemployed,1.0,none,real estate,24.0,none,rent,1.0,unemp/unskilled non res,1.0,yes,good
308,<0,36.0,existing paid,new car,9271.0,<100,4<=X<7,2.0,none,car,24.0,none,own,1.0,skilled,1.0,yes,bad
309,0<=X<200,6.0,existing paid,radio/tv,590.0,<100,<1,3.0,none,real estate,26.0,none,own,1.0,unskilled resident,1.0,no,good
310,no checking,12.0,critical/other existing credit,radio/tv,930.0,no known savings,>=7,4.0,none,real estate,65.0,none,own,4.0,skilled,1.0,yes,good
311,0<=X<200,42.0,all paid,used car,9283.0,<100,unemployed,1.0,none,no known property,55.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
312,0<=X<200,15.0,no credits/all paid,new car,1778.0,<100,<1,2.0,none,real estate,26.0,none,rent,2.0,unemp/unskilled non res,1.0,yes,bad
313,0<=X<200,8.0,existing paid,business,907.0,<100,<1,3.0,none,real estate,26.0,none,own,1.0,skilled,1.0,yes,good
314,0<=X<200,6.0,existing paid,radio/tv,484.0,<100,4<=X<7,3.0,guarantor,real estate,28.0,bank,own,1.0,unskilled resident,1.0,yes,good
315,<0,36.0,critical/other existing credit,used car,9629.0,<100,4<=X<7,4.0,none,car,24.0,none,own,2.0,skilled,1.0,yes,bad
316,<0,48.0,existing paid,domestic appliance,3051.0,<100,1<=X<4,3.0,none,car,54.0,none,own,1.0,skilled,1.0,yes,bad
317,<0,48.0,existing paid,new car,3931.0,<100,4<=X<7,4.0,none,no known property,46.0,none,for free,1.0,skilled,2.0,yes,bad
318,0<=X<200,-1,delayed previously,new car,7432.0,<100,1<=X<4,2.0,none,life insurance,54.0,none,rent,1.0,skilled,1.0,yes,good
319,no checking,-1,existing paid,domestic appliance,1338.0,500<=X<1000,1<=X<4,1.0,none,real estate,62.0,none,own,1.0,skilled,1.0,yes,good
320,no checking,-1,critical/other existing credit,radio/tv,1554.0,<100,4<=X<7,1.0,none,car,24.0,none,rent,2.0,skilled,1.0,yes,good
321,<0,-1,existing paid,other,15857.0,<100,unemployed,2.0,co applicant,car,43.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
322,<0,18.0,existing paid,radio/tv,1345.0,<100,1<=X<4,4.0,none,real estate,26.0,bank,own,1.0,skilled,1.0,yes,bad
323,no checking,12.0,existing paid,new car,1101.0,<100,1<=X<4,3.0,none,real estate,27.0,none,own,2.0,skilled,1.0,yes,good
324,>=200,12.0,existing paid,radio/tv,3016.0,<100,1<=X<4,3.0,none,car,24.0,none,own,1.0,skilled,1.0,yes,good
325,<0,36.0,existing paid,furniture/equipment,2712.0,<100,>=7,2.0,none,life insurance,41.0,bank,own,1.0,skilled,2.0,yes,bad
326,<0,8.0,critical/other existing credit,new car,731.0,<100,>=7,4.0,none,real estate,47.0,none,own,2.0,unskilled resident,1.0,yes,good
327,no checking,18.0,critical/other existing credit,furniture/equipment,3780.0,<100,<1,3.0,none,car,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
328,<0,21.0,critical/other existing credit,new car,1602.0,<100,>=7,4.0,none,car,30.0,none,own,2.0,skilled,1.0,yes,good
329,<0,18.0,critical/other existing credit,new car,3966.0,<100,>=7,1.0,none,real estate,33.0,bank,rent,3.0,skilled,1.0,yes,bad
330,no checking,18.0,no credits/all paid,business,4165.0,<100,1<=X<4,2.0,none,car,36.0,stores,own,2.0,skilled,2.0,yes,bad
331,<0,36.0,existing paid,used car,8335.0,no known savings,>=7,3.0,none,no known property,47.0,none,for free,1.0,skilled,1.0,yes,bad
332,0<=X<200,48.0,delayed previously,business,6681.0,no known savings,1<=X<4,4.0,none,no known property,38.0,none,for free,1.0,skilled,2.0,yes,good
333,no checking,24.0,delayed previously,business,2375.0,500<=X<1000,1<=X<4,4.0,none,car,44.0,none,own,2.0,skilled,2.0,yes,good
334,<0,18.0,existing paid,new car,1216.0,<100,<1,4.0,none,car,23.0,none,rent,1.0,skilled,1.0,yes,bad
335,<0,45.0,no credits/all paid,business,11816.0,<100,>=7,2.0,none,car,29.0,none,rent,2.0,skilled,1.0,yes,bad
336,0<=X<200,24.0,existing paid,radio/tv,5084.0,no known savings,>=7,2.0,none,car,42.0,none,own,1.0,skilled,1.0,yes,good
337,>=200,15.0,existing paid,radio/tv,2327.0,<100,<1,2.0,none,real estate,25.0,none,own,1.0,unskilled resident,1.0,yes,bad
338,<0,12.0,no credits/all paid,new car,1082.0,<100,1<=X<4,4.0,none,car,48.0,bank,own,2.0,skilled,1.0,yes,bad
339,no checking,12.0,existing paid,radio/tv,886.0,no known savings,1<=X<4,4.0,none,car,21.0,none,own,1.0,skilled,1.0,yes,good
340,no checking,4.0,existing paid,furniture/equipment,601.0,<100,<1,1.0,none,real estate,23.0,none,rent,1.0,unskilled resident,2.0,yes,good
341,<0,24.0,critical/other existing credit,used car,2957.0,<100,>=7,4.0,none,life insurance,63.0,none,own,2.0,skilled,1.0,yes,good
342,no checking,24.0,critical/other existing credit,radio/tv,2611.0,<100,>=7,4.0,co applicant,real estate,46.0,none,own,2.0,skilled,1.0,yes,good
343,<0,36.0,existing paid,furniture/equipment,5179.0,<100,4<=X<7,4.0,none,life insurance,29.0,none,own,1.0,skilled,1.0,yes,bad
344,no checking,21.0,delayed previously,used car,2993.0,<100,1<=X<4,3.0,none,real estate,28.0,stores,own,2.0,unskilled resident,1.0,yes,good
345,no checking,18.0,existing paid,repairs,1943.0,<100,<1,4.0,none,real estate,23.0,none,own,1.0,skilled,1.0,yes,bad
346,no checking,24.0,all paid,business,1559.0,<100,4<=X<7,4.0,none,car,50.0,bank,own,1.0,skilled,1.0,yes,good
347,no checking,18.0,existing paid,furniture/equipment,3422.0,<100,>=7,4.0,none,life insurance,47.0,bank,own,3.0,skilled,2.0,yes,good
348,0<=X<200,21.0,existing paid,furniture/equipment,3976.0,no known savings,4<=X<7,2.0,none,car,35.0,none,own,1.0,skilled,1.0,yes,good
349,no checking,18.0,existing paid,new car,6761.0,no known savings,1<=X<4,2.0,none,car,68.0,none,rent,2.0,skilled,1.0,yes,bad
350,no checking,24.0,existing paid,new car,1249.0,<100,<1,4.0,none,real estate,28.0,none,own,1.0,skilled,1.0,yes,good
351,<0,9.0,existing paid,radio/tv,1364.0,<100,4<=X<7,3.0,none,real estate,59.0,none,own,1.0,skilled,1.0,yes,good
352,<0,12.0,existing paid,radio/tv,709.0,<100,>=7,4.0,none,real estate,57.0,stores,own,1.0,unskilled resident,1.0,yes,bad
353,<0,-1,critical/other existing credit,new car,2235.0,<100,1<=X<4,4.0,guarantor,life insurance,33.0,bank,rent,2.0,skilled,1.0,no,bad
354,no checking,-1,critical/other existing credit,used car,4042.0,no known savings,4<=X<7,3.0,none,life insurance,43.0,none,own,2.0,skilled,1.0,yes,good
355,no checking,-1,critical/other existing credit,radio/tv,1471.0,<100,1<=X<4,4.0,none,no known property,35.0,none,for free,2.0,skilled,1.0,yes,good
356,<0,18.0,all paid,new car,1442.0,<100,4<=X<7,4.0,none,no known property,32.0,none,for free,2.0,unskilled resident,2.0,yes,bad
357,no checking,36.0,delayed previously,new car,10875.0,<100,>=7,2.0,none,car,45.0,none,own,2.0,skilled,2.0,yes,good
358,no checking,24.0,existing paid,new car,1474.0,100<=X<500,<1,4.0,none,real estate,33.0,none,own,1.0,skilled,1.0,yes,good
359,no checking,10.0,existing paid,retraining,894.0,no known savings,0,4.0,none,life insurance,40.0,none,own,1.0,skilled,1.0,yes,good
360,no checking,15.0,critical/other existing credit,furniture/equipment,3343.0,<100,1<=X<4,4.0,none,no known property,28.0,none,for free,1.0,skilled,1.0,yes,good
361,<0,15.0,existing paid,new car,3959.0,<100,1<=X<4,3.0,none,life insurance,29.0,none,own,1.0,skilled,1.0,yes,bad
362,no checking,9.0,existing paid,new car,3577.0,100<=X<500,1<=X<4,1.0,guarantor,real estate,26.0,none,rent,1.0,skilled,2.0,no,good
363,no checking,24.0,critical/other existing credit,used car,5804.0,>=1000,1<=X<4,4.0,none,real estate,27.0,none,own,2.0,skilled,1.0,yes,good
364,no checking,18.0,delayed previously,business,2169.0,<100,1<=X<4,4.0,none,car,28.0,none,own,1.0,skilled,1.0,yes,bad
365,<0,24.0,existing paid,radio/tv,2439.0,<100,<1,4.0,none,real estate,35.0,none,own,1.0,skilled,1.0,yes,bad
366,no checking,27.0,critical/other existing credit,furniture/equipment,4526.0,>=1000,<1,4.0,none,real estate,32.0,stores,own,2.0,unskilled resident,2.0,yes,good
367,no checking,10.0,existing paid,furniture/equipment,2210.0,<100,1<=X<4,2.0,none,real estate,25.0,bank,rent,1.0,unskilled resident,1.0,yes,bad
368,no checking,15.0,existing paid,furniture/equipment,2221.0,500<=X<1000,1<=X<4,2.0,none,car,20.0,none,rent,1.0,skilled,1.0,yes,good
369,<0,18.0,existing paid,radio/tv,2389.0,<100,<1,4.0,none,car,27.0,stores,own,1.0,skilled,1.0,yes,good
370,no checking,12.0,critical/other existing credit,furniture/equipment,3331.0,<100,>=7,2.0,none,life insurance,42.0,stores,own,1.0,skilled,1.0,yes,good
371,no checking,36.0,existing paid,business,7409.0,no known savings,>=7,3.0,none,life insurance,37.0,none,own,2.0,skilled,1.0,yes,good
372,<0,12.0,existing paid,furniture/equipment,652.0,<100,>=7,4.0,none,life insurance,24.0,none,rent,1.0,skilled,1.0,yes,good
373,no checking,36.0,delayed previously,furniture/equipment,7678.0,500<=X<1000,4<=X<7,2.0,none,car,40.0,none,own,2.0,skilled,1.0,yes,good
374,>=200,6.0,critical/other existing credit,new car,1343.0,<100,>=7,1.0,none,real estate,46.0,none,own,2.0,skilled,2.0,no,good
375,<0,24.0,critical/other existing credit,business,1382.0,100<=X<500,4<=X<7,4.0,none,real estate,26.0,none,own,2.0,skilled,1.0,yes,good
376,no checking,15.0,existing paid,domestic appliance,874.0,no known savings,<1,4.0,none,real estate,24.0,none,own,1.0,skilled,1.0,yes,good
377,<0,12.0,existing paid,furniture/equipment,3590.0,<100,1<=X<4,2.0,co applicant,life insurance,29.0,none,own,1.0,unskilled resident,2.0,yes,good
378,0<=X<200,11.0,critical/other existing credit,new car,1322.0,>=1000,1<=X<4,4.0,none,car,40.0,none,own,2.0,skilled,1.0,yes,good
